HorizonYear,_2018,_2025,_2030,_2040,_2050
DA,68636191,75773109,82874648,16326681,106877710.5
HOV,21912752,25314429,27891152,7021010,37519606
GPNT,0,0,0,0,0
GPTL,0,0,0,0,0
HOVNT,0,0,0,0,0
HOVTL,0,0,0,0,0
Heavy,3629466,4369895,5016425,966153.9,8855231
Medium,7211572,8906392,10100024,2505337,14953207
Light,19942396,25781529,29497699,6222867,40967560
Bus,207751.2,232626,245366.8,45477.61,315659.3
Total,121540128.6,140377979.3,155625315.1,33087527,209488974.4
