HorizonYear,_2018,_2025,_2030,_2040,_2050
DA,20746939,22971833,25080733,28850233,32117186
HOV,7011560,8151544,8996511,10579349,12075224
GPNT,0,0,0,0,0
GPTL,0,0,0,0,0
HOVNT,0,0,0,0,0
HOVTL,0,0,0,0,0
Heavy,716887.3,863285,987183.7,1295746,1751226
Medium,2081461,2566752,2930289,3582410,4280018
Light,4468835,5796603,6618696,7933120,9130417
Bus,40967.1,44985.77,47817.22,60637.86,61083.54
Total,35066651,40395004,44661230,52310497,59415155
