HorizonYear,DA,HOV,GPNT,GPTL,HOVNT,HOVTL,Heavy,Medium,Light,Bus,Total
2018,68636191,21912752,0,0,0,0,3629466,7211572,19942396,207751.2,121540128.6
2025,75773109,25314429,0,0,0,0,4369895,8906392,25781529,232626,140377979.3
2030,82874648,27891152,0,0,0,0,5016425,10100024,29497699,245366.8,155625315.1
2040,16326681,7021010,0,0,0,0,966153.9,2505337,6222867,45477.61,33087527
2050,106877710.5,37519606,0,0,0,0,8855231,14953207,40967560,315659.3,209488974.4
